"Infrrd","https://www.infrrd.ai/","Intelligent Document Processing for Mortgage & Insurance - No-Touch Processing","AI-driven IDP for structured and unstructured documents, high accuracy data extraction, no-touch processing claims","Subscription (custom enterprise pricing)","Vertical packs for mortgage/insurance with no-touch processing, recognized as Leader and Star Performer in Everest Group PEAK Matrix 2025","Operations in Mortgage/Insurance, Banking","Vertical-specific solutions (mortgage/insurance), no-touch processing focus, AI-driven visual + NLP processing, Everest Group Leader 2025, innovation and customer experience focus","Claims, mortgage documents, invoices, forms for FSI vertical"
"Hypatos","https://www.hypatos.ai/","AI Agents for Touchless AP - Invoice Automation Excellence","99% automation rate claimed, AI agents handle invoices end-to-end, touchless AP workflows","Subscription (custom pricing)","AI agents for touchless AP with strong SAP ecosystem partnerships","Finance shared services, AP/Procurement teams","99% automation rate claims, SAP/xSuite partnerships, AI agent-based approach, touchless invoice processing focus","Invoices, AP workflows, procurement documents"
"Ephesoft Transact","https://ephesoft.com/","Intelligent Document Processing Platform - Transform unstructured content into actionable data","95% faster processing, 99.9% accuracy claims, open architecture with extensive APIs, hybrid deployment options","Subscription-based (contact for pricing)","Open architecture with extensive APIs, hybrid deployment for regulated industries","IT/Ops in regulated industries (FSI, Insurance, Government)","Open architecture, extensive APIs, hybrid/on-prem/cloud deployment flexibility, Semantik AI Engine for classification, 99.9% accuracy claims","Capture, classify, extract for handwriting/ICR, forms, invoices in regulated environments"
"WorkFusion (Work.AI)","https://www.work.ai/intelligent-document-processing/","Pretrained Models + Fusion Learning for BFSI - Intelligent Document Processing","Everest PEAK Leader recognition, pretrained models for banking workflows, Fusion Learning approach","Subscription (enterprise pricing)","Pretrained models + Fusion Learning for BFSI operations","Operations in Banking/Insurance, Financial services","Leader in Everest PEAK assessment (vendor claim), pretrained models for BFSI, Fusion Learning methodology, RPA/BPM integrations","KYC, onboarding, invoices for banking and insurance"
"Affinda","https://www.affinda.com/","AI-Powered Resume Parser & Invoice Processing - Automate Recruitment and AP","Accurately extract data from resumes in 50+ languages, 95%+ accuracy, flexible consumption-based pricing","Starter: $0.20/page (first 14 days free), Business: Tiered ($0.20 for 0-2.5K, $0.15 for 2.5K-10K, $0.10 for 10K-30K, $0.05 for 30K+ pages), Enterprise: Custom, Resume Parser: $800/year (6K credits) to $18K/year (780K credits)","Consumption-based, per-page pricing","AI parsing for resumes and invoices with HR/recruitment and AP automation focus","HR/Recruitment teams, Operations/IT for AP, ATS/ERP integrations","50+ language support for resumes, 95%+ accuracy, flexible tiered pricing, ATS/HR tech integrations, 14-day free trial, monthly billing in arrears","Resumes, invoices, recruitment documents, AP documents"
"Onfido","https://onfido.com/","Identity Verification Platform - Real Identity Platform with Atlas™ AI","Fast and accurate verification with proprietary AI, no-code orchestration (Onfido Studio), comprehensive verification suite","Contact for pricing, Per verification model, No setup/implementation charges","Identity verification platform with document capture and biometric checks","Fraud/Compliance teams, Fintech, Crypto, Marketplaces","Real Identity Platform with Atlas™ AI, Onfido Studio (no-code orchestration), automated onboarding, KYC/AML compliance, identity fraud prevention, ~2,500 document support","ID documents, selfies, biometric verification for KYC/AML"
"Veriff","https://www.veriff.com/","Identity Verification at Scale - 6-second verification, 95% first-try success","Instant verification in ~6 seconds, 95% first-try success rate, 12,000+ documents supported, 48 languages, 98% automation with AI","Contact for pricing, No resubmission fees, No setup charges, Per verification","ID verification with superior speed, document coverage, and customer support","Fraud/Compliance, Marketplaces, Fintech, Gaming","12,000+ identity documents supported (vs competitors ~2,500), 6-second verification speed, 230+ countries, advanced fraud prevention with Risk Labels, no hidden fees, transparent pricing","ID documents, liveness detection, biometric checks for marketplaces and fintech"
"Jumio","https://www.jumio.com/","ID Verification at Scale - Identity verification with liveness detection","Automated identity verification with document and biometric checks, fraud prevention","Contact for pricing, Per verification model","ID verification at scale with liveness and fraud detection for fintech and travel","Fintech, Travel, Gaming, Crypto","Liveness detection, document + biometric verification, fraud prevention, global coverage, compliance with KYC/AML regulations","ID documents, passports, liveness checks for fintech and travel onboarding"
"Trulioo","https://www.trulioo.com/","Global Identity Platform - KYC/AML for Fintech","Global KYC/AML verification, identity document checks, database verification","Per verification pricing","Global identity platform for KYC/AML compliance","Fintech, Payment processors, Crypto","Global coverage, AML/KYC compliance, database verification, API-first, identity verification across 195+ countries","ID documents, AML checks, database verification for fintech compliance"
"Sumsub","https://sumsub.com/","KYC/AML/KYB Platform - Full-cycle compliance workflows","Compliance workflows for identity, AML screening, ongoing monitoring, KYB (business verification)","Per verification pricing, tiered by features","KYC/AML/KYB compliance platform with full-cycle workflows","Fintech, Crypto exchanges, Gaming, Marketplaces","Full-cycle compliance (KYC/AML/KYB), ongoing monitoring, AML screening, business verification, crypto-focused features","ID docs, AML screening, KYB verification, ongoing compliance monitoring"
"Persona","https://withpersona.com/","Customizable Identity Platform - Build custom KYC flows","Customizable KYC flows with no-code builder, database checks, document verification","Per verification pricing, contact for details","Identity platform with highly customizable KYC flows and orchestration","Fintech, Marketplaces, Healthcare, Crypto","Highly customizable flows (no-code builder), database checks, flexible orchestration, developer-friendly API, case management","ID documents, database checks, custom verification workflows"
"Tungsten Automation (Kofax)","https://www.tungstenautomation.com/","Trusted Choice in Workflow Automation - AI-Powered Intelligent Automation","Process 530M+ invoices annually, handle any invoice format globally, compliance in 140+ countries","Subscription-based, contact for enterprise pricing","End-to-end workflow + IDP; strong AP automation, Gartner Magic Quadrant leader","Operations, Finance/IT teams, Shared services centers","530M+ invoices processed/year, 140+ country compliance, 140+ ERP/RPA connectors, Document AI + GenAI, global format support, rebranded from Kofax Jan 2024","Capture, classify, extract; AP automation, traditional invoicing + e-invoicing"
"Parashift","https://www.parashift.io/","Document Automation for SMEs - Intelligent Document Processing","AI-driven document automation with EU data protection compliance, cloud-native solution","Subscription model (via partners like JobRouter)","Swiss IDP vendor focusing on SME document automation with EU compliance","SMEs, European customers needing GDPR compliance","Swiss-based, EU data protection compliance, cloud-native, partnership with JobRouter for SME offering, AI-driven extraction","Invoices, receipts, various business documents for European SMEs"
"Konfuzio","https://konfuzio.com/en/","AI Software for Texts, Documents and Emails - Document AI Platform","Optimize data management across healthcare, public admin, industry, auditing, banking, insurance sectors","Contact for pricing, Custom solutions per industry","German document AI platform with industry-specific solutions and AI training capabilities","Healthcare, Public administration, Industry, Auditing, Banking, Insurance (Germany focus)","Germany-based, industry-specific tailored solutions, AI training via web browser, Meta AI for autonomous model training, SmartView/ReView tools, OCR API, multi-tenant and on-premises options","Texts, documents, emails across healthcare, public sector, financial services"
"FormX.ai","https://www.formx.ai/","OCR API for Document Extraction - Convert documents to structured JSON","Hong Kong-based OCR API, pre-built extractors for common docs, train custom models with samples, fixed layout extraction","Contact for pricing, API-based","Hong Kong OCR API with pre-built extractors and custom training options","Developers, Businesses in Hong Kong and APAC, Finance, Telecom","Hong Kong-based, pre-built extractors for Gov IDs/Invoices/Receipts, train models with up to 100 samples, fixed layout extractor, used in HK Government Consumption Voucher Scheme","Government IDs, Invoices, Receipts, Identity documents for KYC in APAC"
"Base64.ai","https://base64.ai/","AI-Powered Document Intelligence - IDP Startup of the Year","99.7% accuracy with 2,800+ pre-trained GenAI models, process documents in 5 seconds (vs weeks manually), no-code integration","Contact for pricing, SaaS/On-Prem/Air-Gap deployment options","IDP Startup of the Year with 2,800+ pre-built GenAI models and enterprise-grade security","Insurance, Finance, Healthcare, Manufacturing","2,800+ pre-trained Generative AI models, 99.7% accuracy claims, 5-second processing vs weeks manual, no-code integration, API-first (go live in <1 hour), enterprise security (SaaS/On-Prem/Air-Gap)","Claims processing, loan origination, invoice processing, various structured and unstructured documents"
"Zamna","https://www.zamna.com/","Airline Regulatory Document Automation - Travel Rules Engine","Automate validation of regulatory documents and travel rules, 70M+ verifications, 180+ issuing countries","Contact for pricing, B2B for airlines","Airline-focused identity verification and regulatory document automation for travel compliance","Airlines, Travel industry, Border control","70M+ travel document verifications, 180+ issuing countries supported, pre-travel verification (ETIAS, visa checks), DCS integration, no hardware/wallets needed, eliminates manual checks","Passports, visas, travel permits, ETIAS compliance for airline operations"
"Pulse AI (YC S24)","https://studio.trypulse.ai","Production-grade Unstructured Document Extraction for LLMs - Vision Language Models + OCR","API converts complex documents into LLM-ready inputs using proprietary VLMs and advanced OCR, handles 75% of enterprise data (PDFs)","API access, Contact for pricing","GenAI-native document extraction for enterprise LLM pipelines, YC S24 batch","Developers, Enterprises using LLMs in healthcare, manufacturing, supply chain","YC S24 backed, $3.9M seed funding, proprietary Vision Language Models, handles handwritten/foreign language texts, 75% of enterprise data (unstructured PDFs), reasoning tool for spreadsheets","Forms, invoices, IDs, complex PDFs, spreadsheets for LLM training and inference workflows"
"Reducto (YC W24)","https://www.reducto.ai/","AI Tool Turns PDFs and Spreadsheets into Data LLMs Can Use - Document Processing for LLMs","Enables LLMs to read complex documents by recognizing visual cues (paragraph spacing, list hierarchies)","Contact for pricing","Document processing specifically designed for LLM workflows and RAG pipelines","Legal tech startups, Healthcare companies, Tech companies enhancing AI","YC W24, $8.4M seed funding (First Round Capital lead), mimics human reading of documents, recognizes visual cues, used by legal tech/healthcare, major tech company client","PDFs, spreadsheets, complex documents for LLM/RAG workflows"
"Send AI","https://www.sendai.nl/","Extract Data from Complex Documents - AI for Regulated Industries","Customizable AI models for unstructured documents (PDFs, images), human oversight validation for uncertain results","Contact for pricing","Document processing for regulated industries (insurance) with human oversight, Google Gradient Ventures backed","Enterprises in regulated industries (insurance, finance)","€2.2M ($2.4M) funding co-led by Google's Gradient Ventures, customizable AI models per use case, human oversight for validation, focus on regulated industries, enhances document images","Complex unstructured documents, PDFs, images for insurance and regulated industries"
"Upstage","https://www.upstage.ai/","Document AI Startup - Advanced Document AI Technologies","Global document AI platform with advanced processing capabilities","Funded with $72M for global expansion (2024)","Document AI platform for global enterprises, South Korea based","Global enterprises, Businesses in APAC","$72M funding for global expansion (April 2024), South Korea-based, advanced document AI technologies","Various document types for enterprise document processing"
"DocuPanda (Founded 2024)","https://www.docupanda.io","End-to-end AI Solution for Document Understanding and Insights","Combines document parsing (OCR, data extraction) with generative AI for standardization and classification","Contact for pricing","Emerging NYC-based IDP startup leveraging advanced AI (founded 2024)","Businesses needing document management automation","Founded 2024 in NYC, combines document parsing with generative AI, end-to-end solution from extraction to insights","Documents requiring parsing, standardization, and classification"
"Cambrion (Founded 2024)","https://www.cambrion.ai","Context-aware Document Processing with VLMs and AI","Transform unstructured data (documents, emails, images) into structured actionable insights, B2B SaaS for workflow automation","Contact for pricing, B2B SaaS subscription","Munich-based (founded 2024) context-aware IDP with VLMs, data sovereignty focus, Telekom TechBoost program","Enterprises needing unstructured data management with data sovereignty","Founded 2024 in Munich, Very Large Models (VLMs) for context-aware processing, data sovereignty and security focus, Telekom TechBoost program, B2B SaaS, team of 2-10","Documents, emails, images - unstructured data across business workflows"
"deepset","https://www.deepset.ai/","Transform Complex Document Analysis with Generative AI - LLM-Powered IDP","60-70% efficiency gains vs human processing with LLM-powered IDP, synergy between AI automation and human expertise","Contact for pricing","LLM-powered IDP platform for finance, real estate, legal sectors","Startups to government agencies, Finance, Real estate, Legal","60-70% efficiency improvement vs human processing, LLM-powered (focus on generative AI), practical use cases across industries, custom IDP with minimal engineering","Complex documents across finance, real estate, legal sectors"
"Ripcord","https://www.ripcord.com/platform","Robotic Digitization + IDP - Launched Docufai GenAI Platform","Backfile conversion with robotic digitization, Docufai generative AI platform for document insights","Subscription + services model","Backfile conversion + IDP with robotics, launched Docufai GenAI platform in 2024","Records/Backfile management, Government, Enterprises","$32M funding in 2024 (Kleiner Perkins, Google Ventures lead), robotic digitization capability, Docufai GenAI platform launch, government clients, backfile focus","Paper digitization, backfile conversion, document intelligence for government and enterprise archives"
"Scale AI Document AI","https://scale.com/","Document Pipelines with HITL - AI-Powered Data Platform","Document processing pipelines with human-in-the-loop for ML training data, used by OpenAI, Meta, US government","Usage-based pricing, enterprise contracts","Document pipelines with HITL for ML/AI training data and production workflows","Developers/Enterprises building AI, ML teams, Government","Used by OpenAI, Meta, US government for AI training data, human-in-the-loop for quality, document processing pipelines for ML, generative AI focus","Forms, invoices, IDs for ML training data and AI application pipelines"
"super.AI","https://super.ai/","AI + Human Pipelines - Crowd/HITL + AI for Document Processing","Combines AI automation with human crowd validation, workflow automation with quality control","Usage-based pricing","AI + human pipelines with crowd validation and HITL for quality assurance","Operations/IT teams, Businesses needing high accuracy with human validation","Crowd + HITL approach, combines AI with human validation, workflow automation, quality control focus","Forms, receipts, custom documents requiring high accuracy with human oversight"
"IBM Datacap","https://www.ibm.com/products/document-processing","Document Processing - Part of IBM Automation Suite","NLP/ML capture within IBM automation ecosystem, datacap included in suite","Subscription, enterprise licensing","Part of IBM automation suite with NLP/ML capture capabilities","IT/CoE at IBM shops, Enterprise IT","Part of IBM automation suite, NLP/ML capture, IBM Cloud Pak integration, RPA capabilities, enterprise focus, case studies: BMO, Turkcell","Capture, classify, extract across various document types for IBM customers"
"OpenText Intelligent Capture","https://www.opentext.com/products/capture-intelligent-document-processing","LLM-Assisted Capture + Process Automation","ECM-centric intelligent capture with LLM assistance, process automation integration","Subscription-based","Capture + process automation for ECM customers with LLM-assisted intelligence","ECM/IT teams, Content management admins","LLM-assisted capture (new in 2024), ECM focus (OpenText ecosystem), process automation integration, hybrid deployment","Capture, classify, extract for content management and ECM workflows"
"Hyland Brainware","https://www.hyland.com/en/products/brainware","Enterprise Capture + IDP under Hyland","Intelligent capture and classification within Hyland OnBase ecosystem","Subscription-based","Capture + IDP under Hyland OnBase for ECM customers","ECM/IT teams using Hyland/OnBase","Hyland OnBase ecosystem integration, enterprise capture focus, intelligent classification","Capture, classify, extract for Hyland OnBase users"
"Pega IDP","https://www.pega.com/","IDP Embedded in Pega Workflows","OCR/NLP within Pega process automation platform, embedded in workflows","Subscription (Pega platform licensing)","IDP embedded in Pega workflows for FSI and government process automation","Operations/IT in FSI, Government using Pega","Embedded in Pega Platform, OCR/NLP for process automation, FSI and government focus","Forms and documents across Pega-automated business processes"
"Appian IDP","https://appian.com/products/platform/process-automation/intelligent-document-processing","GenAI-Powered IDP - IDP Embedded in Process Platform","GenAI-powered document processing within Appian low-code platform, customers: Canada Life, MagMutual","Subscription (Appian platform licensing)","IDP embedded in Appian process platform with GenAI capabilities","Operations/IT in FSI, Government, Insurance using Appian","GenAI-powered IDP, embedded in Appian low-code platform, process automation focus, customers: Canada Life, MagMutual","Documents across business processes in FSI, government, insurance"
"Datamatics TruCap+","https://www.datamatics.com/intelligent-automation/products/trucap-plus","Template-less Capture for AP - AI/ML Document Processing","AI/ML template-less extraction for invoices and forms, India/Global focus","Subscription-based","Template-less capture for AP with India/Global market focus","Operations/IT in AP/Finance, India and Global","Template-less extraction (no pre-training), AI/ML powered, India-based vendor with global reach, AP/Finance focus","Invoices, forms for AP/Finance workflows"
"Celaton inSTREAM","https://www.celaton.com/","Inbound Content Automation - Adaptive Automation for Documents and Emails","Adaptive automation for inbound documents and emails, Retail and Insurance focus (EU/UK)","Subscription-based","Inbound content automation for retail and insurance with adaptive learning","Operations/Back office in Retail, Insurance (EU/UK)","Adaptive automation, inbound document and email focus, Retail and Insurance vertical, EU/UK market, learns from corrections","Inbound documents and emails for retail and insurance operations"
"Parascript","https://parascript.com/products-technology-solutions","Specialized IDP for Checks, Signatures, Forms - Fraud Prevention + Capture","High-accuracy check/signature AI, fraud prevention for banking and postal","Subscription-based","Specialized IDP for checks, signatures, fraud prevention in banking and postal","Banks, Government/Postal services (US/EU)","Specialized in checks and signatures, high-accuracy recognition, fraud prevention focus, banking and postal sectors","Checks, signatures, forms for banks, government, postal services"
"AntWorks CMR+","https://www.ant.works/","Template-less Cognitive Machine Reading","Cognitive machine reading for semi/unstructured documents without templates","Subscription-based","Template-less cognitive reading with AI","Operations/IT teams, Enterprises","Template-less approach, cognitive machine reading, AI-powered, RPA/BPM integrations","Semi-structured and unstructured documents across industries"
"Grooper (BIS)","https://www.bisok.com/grooper/","Capture-Centric IDP - Data Integration + Capture","Data integration + capture for document processing","Subscription-based","Capture-centric IDP with strong data integration capabilities","IT/Operations teams (US/EU focus)","Data integration focus, capture-centric approach, ECM/RPA integrations","Capture, classify, extract with data integration needs"
"SS&C Chorus Document Automation","https://www.ssctech.com/solutions/chorus","FSI-Focused Capture + IDP - From Vidado/Captricity Roots","Document automation for financial services from Vidado/Captricity legacy","Subscription-based","FSI-focused capture + IDP with Vidado/Captricity heritage","Operations in Financial Services/Insurance","FSI vertical focus, Vidado/Captricity heritage, SS&C financial services ecosystem","Forms, checks, claims for financial services and insurance"
"CaptureFast","https://www.capturefast.com/","Mobile-First Capture + IDP","Mobile capture and IDP for field operations","Subscription-based","Mobile-first capture for field and operations teams","Operations/Field teams (EU/Global)","Mobile-first approach, cloud and mobile app, field operations focus","Mobile capture + IDP for field operations"
